,map_file,richness,speciation,time
390,map_500_0.2_1.tif,1491,True,2594.0
391,map_500_0.2_1.tif,1505,True,2595.0
392,map_500_0.2_1.tif,1503,True,2596.0
393,map_500_0.2_1.tif,1512,True,2597.0
394,map_500_0.2_1.tif,1499,True,2598.0
395,map_500_0.2_1.tif,1499,True,2599.0
396,map_500_0.2_1.tif,172,False,0.0
397,map_500_0.2_1.tif,171,False,100.0
398,map_500_0.2_1.tif,174,False,200.0
399,map_500_0.2_1.tif,173,False,300.0
400,map_500_0.2_1.tif,185,False,400.0
401,map_500_0.2_1.tif,186,False,500.0
402,map_500_0.2_1.tif,187,False,600.0
403,map_500_0.2_1.tif,188,False,700.0
404,map_500_0.2_1.tif,197,False,800.0
405,map_500_0.2_1.tif,206,False,900.0
406,map_500_0.2_1.tif,204,False,1000.0
407,map_500_0.2_1.tif,215,False,1100.0
408,map_500_0.2_1.tif,217,False,1200.0
409,map_500_0.2_1.tif,235,False,1300.0
410,map_500_0.2_1.tif,243,False,1400.0
411,map_500_0.2_1.tif,247,False,1500.0
412,map_500_0.2_1.tif,261,False,1600.0
413,map_500_0.2_1.tif,289,False,1700.0
414,map_500_0.2_1.tif,307,False,1800.0
415,map_500_0.2_1.tif,321,False,1900.0
416,map_500_0.2_1.tif,365,False,2000.0
417,map_500_0.2_1.tif,383,False,2100.0
418,map_500_0.2_1.tif,435,False,2200.0
419,map_500_0.2_1.tif,530,False,2300.0
420,map_500_0.2_1.tif,675,False,2400.0
421,map_500_0.2_1.tif,1320,False,2500.0
422,map_500_0.2_1.tif,1493,False,2600.0
423,map_500_0.2_1.tif,1514,False,2700.0
424,map_500_0.2_1.tif,1183,False,2495.0
425,map_500_0.2_1.tif,1195,False,2496.0
426,map_500_0.2_1.tif,1221,False,2497.0
427,map_500_0.2_1.tif,1241,False,2498.0
428,map_500_0.2_1.tif,1282,False,2499.0
429,map_500_0.2_1.tif,1512,False,2501.0
430,map_500_0.2_1.tif,1507,False,2502.0
431,map_500_0.2_1.tif,1505,False,2503.0
432,map_500_0.2_1.tif,1505,False,2504.0
433,map_500_0.2_1.tif,1513,False,2505.0
434,map_500_0.2_1.tif,1497,False,2506.0
435,map_500_0.2_1.tif,1501,False,2507.0
436,map_500_0.2_1.tif,1507,False,2508.0
437,map_500_0.2_1.tif,1508,False,2509.0
438,map_500_0.2_1.tif,1516,False,2510.0
439,map_500_0.2_1.tif,1513,False,2511.0
440,map_500_0.2_1.tif,1524,False,2512.0
441,map_500_0.2_1.tif,1526,False,2513.0
442,map_500_0.2_1.tif,1517,False,2514.0
443,map_500_0.2_1.tif,1511,False,2515.0
444,map_500_0.2_1.tif,1513,False,2516.0
